sentence_id,year,month,year_month,source,period,sentence,emotion,confidence
00103,2016,12,2016-12,bbc_news_tv,control,is it arrogance or is it incompetence?,neutral,0.509833
00104,2016,12,2016-12,bbc_news_tv,control,these are the overnight lows for the first part of sunday morning.,neutral,0.919863
00105,2016,12,2016-12,bbc_news_tv,control,"the report showed a civilian crying in the street by the body of his son, who’d just been shot.",disgust,0.527983
00106,2016,12,2016-12,bbc_news_tv,control,"temperature is 4-6 celsius, so a little cool, but at least the winds are light.",neutral,0.903572
00107,2016,12,2016-12,bbc_news_tv,control,"always wanted to race indy 500, that was my dream, my desire.",joy,0.755502
00108,2016,12,2016-12,bbc_news_tv,control,she wants to gain a confidence that all americans want and deserve to have in the integrity of our elections.,neutral,0.898403
00109,2016,12,2016-12,bbc_news_tv,control,"after years of violence, this conflict is now turning into a wider crisis.",fear,0.296407
00110,2016,12,2016-12,bbc_news_tv,control,you will operate everything using the using the remote control.,neutral,0.926157
00111,2016,12,2016-12,bbc_news_tv,control,they opened their doors and told us their stories which in a country which is normally so secretive and closed was interesting.,neutral,0.464759
00112,2016,12,2016-12,bbc_news_tv,control,this is news.,neutral,0.686359
00113,2016,12,2016-12,bbc_news_tv,control,"always wanted to race, i won the race in vegas in 1999 with this car race in vegas in 1999 with this tar and that race in vegas in 1999 with this car and that was the pick of everything.",joy,0.787212
00114,2016,12,2016-12,bbc_news_tv,control,donald trump doesn’t have to listen to it advisory.,neutral,0.947772
00115,2016,12,2016-12,bbc_news_tv,control,"gyroscopes, excel letters, in the knee.",neutral,0.507803
00116,2016,12,2016-12,bbc_news_tv,control,it works physically in two phases.,neutral,0.933729
00117,2016,12,2016-12,bbc_news_tv,control,ace story of a young boy smashed open his piggy his piggy bank and gave ten dollars to the hospital.,disgust,0.967703
00118,2016,12,2016-12,bbc_news_tv,control,that’s too close.,surprise,0.499052
00119,2016,12,2016-12,bbc_news_tv,control,time for me to head out of munich.,neutral,0.670612
00120,2016,12,2016-12,bbc_news_tv,control,another feature of horus is to detect obstacles a few metres away.,neutral,0.713696
00121,2016,12,2016-12,bbc_news_tv,control,some bringing only the clothes they were wearing.,disgust,0.915709
00122,2016,12,2016-12,bbc_news_tv,control,"he used to say, unlike the novelist, the poet isn’t committed to introducing the unfamiliar.",neutral,0.91392
00123,2016,12,2016-12,bbc_news_tv,control,temperatures between two and five degrees.,neutral,0.929023
00124,2016,12,2016-12,bbc_news_tv,control,"hi, there.",neutral,0.763066
00125,2016,12,2016-12,bbc_news_tv,control,"cold, bleak, not what any child would recognise as a home.",sadness,0.962038
00126,2016,12,2016-12,bbc_news_tv,control,"we are happy we left, she tells me.",joy,0.929947
00127,2016,12,2016-12,bbc_news_tv,control,"now on news - ""our world"".",neutral,0.706204
00128,2016,12,2016-12,bbc_news_tv,control,"longer spells of sunshine with temperatures between 3-8 celsius, but with brisk winds towards the south-west of england and the south-west of wales.",joy,0.680086
00129,2016,12,2016-12,bbc_news_tv,control,"no matter how young the goddesses are, everything they do is seen as significant.",neutral,0.791345
00130,2016,12,2016-12,bbc_news_tv,control,"they are being flown to the team’s hometown, chapeco, in southern brazil.",neutral,0.824551
00131,2016,12,2016-12,bbc_news_tv,control,"not me, but i’m pretty happy about it!",joy,0.98922
00132,2016,12,2016-12,bbc_news_tv,control,and sunday we are looking at a sunny day.,joy,0.853839
00133,2016,12,2016-12,bbc_news_tv,control,a company to have this in-house.,surprise,0.505519
00134,2016,12,2016-12,bbc_news_tv,control,"a decade ago, traditions like this were out of fashion, because for some, german tradition brought up too many negative connotations.",neutral,0.611537
00135,2016,12,2016-12,bbc_news_tv,control,"i’m having to wait until she’s ready to see me because today she is very, very busy, maybe because it’s one of the biggest nepalese festivals today.",joy,0.424491
00136,2016,12,2016-12,bbc_news_tv,control,but of great sadness that a country that has done so much for peace and prosperity on the continent should be turning its back on this project at a time of such turbulence and danger in the world.,sadness,0.987254
00137,2016,12,2016-12,bbc_news_tv,control,"but most of the camp has been established on what is officially private land over there, though any native american calls it theirs by right.",neutral,0.912464
00138,2016,12,2016-12,bbc_news_tv,control,: we were sitting at home.,neutral,0.699387
00139,2016,12,2016-12,bbc_news_tv,control,--i am dying to find out more.,sadness,0.958944
00140,2016,12,2016-12,bbc_news_tv,control,it means it will be responsible for collecting far more of the money that it spends.,neutral,0.838577
00141,2016,12,2016-12,bbc_news_tv,control,"to answer that, i’m joined by sam taylor, the executive editor of the news channel and the news at one.",joy,0.399587
00142,2016,12,2016-12,bbc_news_tv,control,one of the many struggles for blind people the many for blind people is accessing the many struggles for blind people is accessing new environments.,neutral,0.85781
00143,2016,12,2016-12,bbc_news_tv,control,my name’s lebo diseko.,neutral,0.879093
00144,2016,12,2016-12,bbc_news_tv,control,what’s not clear is who actually initiated this conversation and so far there has been no reaction to it from beijing.,neutral,0.903827
00145,2016,12,2016-12,bbc_news_tv,control,"hello, this is breakfast, withjon kay and mega munchetty.",neutral,0.76813
00146,2016,12,2016-12,bbc_news_tv,control,"in the afternoon, we may keep a fair bit of cloud across the east midlands, but sunny spells forecast for the south-east of england.",neutral,0.601257
00147,2016,12,2016-12,bbc_news_tv,control,have been clear we are ambitious about getting the best possible deal for trading with and operating within the single european market.,neutral,0.704711
00148,2016,12,2016-12,bbc_news_tv,control,"not since the battle of little bighorn in 1876 have the sioux gathered like this, and notjust the sioux, more than 10,000 have come here from all over the world, with this demand.",neutral,0.623349
00149,2016,12,2016-12,bbc_news_tv,control,has there been reaction from the chinese?,neutral,0.703252
00150,2016,12,2016-12,bbc_news_tv,control,have never seen anything like this in the two years have been living in cuba.,neutral,0.331769
00151,2016,12,2016-12,bbc_news_tv,control,"this can be seen here, otto bock.",neutral,0.888996
00152,2016,12,2016-12,bbc_news_tv,control,this compromising on medical rare.,neutral,0.487712
00153,2016,12,2016-12,bbc_news_tv,control,"you would agree, wouldn’t you, that the crucial moment of most uncertainty is likely to be the consequences of any new arrangement put in place after we arrive in the arrival hall?",fear,0.643421
00154,2016,12,2016-12,bbc_news_tv,control,"at times, the battle has been bloody.",disgust,0.74453
00155,2016,12,2016-12,bbc_news_tv,control,the government hopes to finalise its plans when it meets with eurozone finance ministers on monday.,joy,0.918097
00156,2016,12,2016-12,bbc_news_tv,control,they all grew up in a rebel area opposed to president assad.,neutral,0.952367
00157,2016,07,2016-07,bbc_news_tv,control,not least after the huge implications of that referendum itself.,neutral,0.869709
00158,2016,07,2016-07,bbc_news_tv,control,"the prime minister’s legacy will undoubtedly be that he has taken us to the brink of being taken out of the european union, so we will not be applauding his premiership on these benches.",neutral,0.672493
00159,2016,07,2016-07,bbc_news_tv,control,that is what want?,neutral,0.777561
00160,2016,07,2016-07,bbc_news_tv,control,-- so split second timing.,neutral,0.862766
00161,2016,07,2016-07,bbc_news_tv,control,"there was the tiny was going into downing street the other night humming, and there was another time when another private conversation quite recently was picked up.",neutral,0.650984
00162,2016,07,2016-07,bbc_news_tv,control,00,neutral,0.752862
00163,2016,07,2016-07,bbc_news_tv,control,more than anything else her government will still have a majority of only 12.,neutral,0.926206
00164,2016,07,2016-07,bbc_news_tv,control,her support in the party appears broad.,joy,0.615767
00165,2016,07,2016-07,bbc_news_tv,control,the first of those of course was tonight.,neutral,0.776172
00166,2016,07,2016-07,bbc_news_tv,control,theresa may was sitting next to cameron as he attended his final session of prime minister’s questions today and he paid this tribute to his successor.,neutral,0.383748
00167,2016,07,2016-07,bbc_news_tv,control,it is taking place of course because david cameron called that referendum and failed to secure that remain vote in the referendum itself,sadness,0.493664
00168,2016,07,2016-07,bbc_news_tv,control,one is helping to secure the release of shaker aamerfrom guantanamo bay.,neutral,0.540692
00169,2016,07,2016-07,bbc_news_tv,control,"i minister, on behalf of the european council i would like to congratulate you on your appointment as prime minister of the united kingdom of great britain and northern ireland.",joy,0.991229
00170,2016,07,2016-07,bbc_news_tv,control,one of the issues in the referendum campaign with a sense of alienation that people felt,sadness,0.903345
00171,2016,07,2016-07,bbc_news_tv,control,she shakes hands.,disgust,0.512165
00172,2016,07,2016-07,bbc_news_tv,control,"they aren’t protesting against me, i want to be clear about that!",anger,0.883608
00173,2016,07,2016-07,bbc_news_tv,control,"well, huw, she is unflappable.",neutral,0.640728
00174,2016,07,2016-07,bbc_news_tv,control,"she has succeeded in a man’s world and we will see in the way she runs her government that she wants other people to be able to do that, too.",neutral,0.9284
00175,2016,07,2016-07,bbc_news_tv,control,"i think theresa has got the experience and understanding, and adeptness, to do that andrew griffiths, thank you so much for joining us today.",joy,0.979198
00176,2016,07,2016-07,bbc_news_tv,control,"it is the north gate they normally go into but it has roadworks and repairs, so this rather lost, perhaps, privy councillor.",neutral,0.665607
00177,2016,07,2016-07,bbc_news_tv,control,what does today mean for you?,neutral,0.502524
00178,2016,07,2016-07,bbc_news_tv,control,"a statement from buckingham palacejust now, the following announcement is easy by the communications secretary to the queen, the right panel david cameron had an audience of the queen this evening and tendered his resignation as prime minister and first lord of the treasury, which her majesty was graciously pleased to accept.",joy,0.951989
00179,2016,07,2016-07,bbc_news_tv,control,"as the then home secretary theresa may into northern ireland during that referendum campaign and she said, herself, it was ""inconceivable there would not be changes to the border, that it would remain completely open and it was inconceivable that would not be think as prime minister she might well have a different view, because theresa may knows the stormont relationships can be fragile and tense and she does not want to unsettle any of those anglo irish relationships.",anger,0.941059
00180,2016,07,2016-07,bbc_news_tv,control,"if you are justjoining us on one, the news channel, or indeed world, we are broadcasting special coverage from downing street on the day that david cameron, premised of the past six years, is tendering his resignation to the queen, in a short while, and he will be replaced your bike theresa may has been home secretary for the past six years.",sadness,0.639981
00181,2016,07,2016-07,bbc_news_tv,control,the digital revolution.,neutral,0.302655
00182,2016,07,2016-07,bbc_news_tv,control,next thing was a man from the trying to take away his scram blower telephone.,neutral,0.331239
00183,2016,07,2016-07,bbc_news_tv,control,"in two days thinking she had a long leadership contest she may or not win, to being told there are no other contenders, you will be the next prime minister.",neutral,0.504002
00184,2016,07,2016-07,bbc_news_tv,control,"well, norma, because there have only ever been two female prime ministers.",neutral,0.904588
00185,2016,07,2016-07,bbc_news_tv,control,she knows what people are capable of.,neutral,0.592858
00186,2016,07,2016-07,bbc_news_tv,control,"well, i can’t imagine that it cameron, there was one terrible faux pas after the scottish referendum, where he disclosed something of the nature of the conversation that he had with the queen, with the mayor of new york.",fear,0.602477
00187,2016,07,2016-07,bbc_news_tv,control,these are images of them arriving.,neutral,0.933851
00188,2016,07,2016-07,bbc_news_tv,control,"once that has been would imagine that the children, nancy, elwen and florence will be invited in to spend a few moments with the queen as they talk about, never know.",neutral,0.728881
00189,2016,07,2016-07,bbc_news_tv,control,thank you very much.,joy,0.713013
00190,2016,07,2016-07,bbc_news_tv,control,there is only us.,neutral,0.899433
00191,2016,07,2016-07,bbc_news_tv,control,she might have thought she had the summer to come up with a plan.,neutral,0.862114
00192,2016,07,2016-07,bbc_news_tv,control,and i will advise her majesty to invite theresa may to form a new administration.,neutral,0.468325
00193,2016,07,2016-07,bbc_news_tv,control,there was applause when she swept in.,joy,0.817172
00194,2016,07,2016-07,bbc_news_tv,control,"so those are the scenes in buckingham palace just a few minutes ago, these images have just been released by the buckingham palace staff, this first audience for may as prime minister at buckingham palace.",neutral,0.766155
00195,2016,07,2016-07,bbc_news_tv,control,but it wasn’t all warm words for cameron.,neutral,0.832036
00196,2016,07,2016-07,bbc_news_tv,control,may as the next prime minister?,neutral,0.669238
00197,2016,07,2016-07,bbc_news_tv,control,"the relationship between our only previous head of government and the head of state, and i’m sure no-one but the queen knows the nature of that relationship, but i think it is fair, is it not, to conclude that there were ups and downs, difficult periods, not least because of the queen’s commitment to the commonwealth, and all of the difficult moments that there were as a result of that?",neutral,0.759467
00198,2016,06,2016-06,bbc_news_tv,control,more reaction coming through.,neutral,0.747806
00199,2016,06,2016-06,bbc_news_tv,control,more than 62% of people in scotland voted to stay in the .,neutral,0.705738
00200,2016,06,2016-06,bbc_news_tv,control,this has huge implications.,neutral,0.622721
00201,2016,06,2016-06,bbc_news_tv,control,it was not as positive as i would have liked.,sadness,0.380701
00202,2016,06,2016-06,bbc_news_tv,control,the ramifications are very clear.,neutral,0.797477
00203,2016,06,2016-06,bbc_news_tv,control,there will be a change in the relationship between the united kingdom and the european union.,neutral,0.895047
00204,2016,06,2016-06,bbc_news_tv,control,"what will always happen is the cooperation between the two countries, if there are people breaking the law and coming in that will be dealt with by intelligent and cross-border co-operation.",neutral,0.847889
00205,2016,06,2016-06,bbc_news_tv,control,it is extraordinary.,surprise,0.971316
00206,2016,06,2016-06,bbc_news_tv,control,i think you are talking about the breakdown in voters.,surprise,0.80043
00207,2016,06,2016-06,bbc_news_tv,control,we need to bﬁdge around the country.,neutral,0.92725
00208,2016,06,2016-06,bbc_news_tv,control,always like.,neutral,0.479752
00209,2016,06,2016-06,bbc_news_tv,control,"poor became clear is that there were not enough facts that the remain campaign could produce on the economy and security, which they could not answer.",neutral,0.651322
00210,2016,06,2016-06,bbc_news_tv,control,"i think the country requires fresh leadership to take it in this direction, i will do everything i ran as direction, i will do everything i can as prime minister to steady the ran as prime minister to steady the ship over the can as prime minister to steady the ship over the next weeks and months but i do not think it would be right for me to to be the captain which steers the country to the next destination.",joy,0.650196
00211,2016,06,2016-06,bbc_news_tv,control,you touched on that news coming through from morgan stanley that it is already putting in place plans to move to staff in the united kingdom out of the country.,neutral,0.821672
00212,2016,06,2016-06,bbc_news_tv,control,"this was very different to the ukip leader, who said he had champagne for breakfast.",neutral,0.931863
00213,2016,06,2016-06,bbc_news_tv,control,"this will be based on the leadership ofjeremy corbyn so far, the prospect of getting the sort of genes you think is needed?",neutral,0.886683
00214,2016,06,2016-06,bbc_news_tv,control,"so, a busy and uncertain time on the markets.",fear,0.988932
00215,2016,06,2016-06,bbc_news_tv,control,"when we see the volatility there is a tendency to think it is an jerk, what is actually happening?",neutral,0.724355
00216,2016,06,2016-06,bbc_news_tv,control,"yes, this was once a prosperous river port, and many here argue its character has been changed particularly in recent years.",neutral,0.922802
00217,2016,06,2016-06,bbc_news_tv,control,"many people think that will lead to weight general election, and that has got labour mp5 twitchy.",neutral,0.822487
00218,2016,06,2016-06,bbc_news_tv,control,we here in earlier about morgan stanley and the plan to relocate 2000 staff in the event of the leave vote.,neutral,0.54572
00219,2016,06,2016-06,bbc_news_tv,control,before we came on you were telling me you thought david cameron had a moral obligation david ameron had a moral obligation to come david cameron had a moral obligation to come here and start those negotiations now.,neutral,0.814278
00220,2016,06,2016-06,bbc_news_tv,control,misty heavy downpour: in scotland.,neutral,0.588673
00221,2016,06,2016-06,bbc_news_tv,control,"and there are now questions over the future of the labour leader, who has been blamed for a lacklustre campaign to remain in the , which failed to convince many labour supporters.",anger,0.519857
00222,2016,06,2016-06,bbc_news_tv,control,if you stayed today you might get a downpour on saturday and vice versa.,neutral,0.724731
00223,2016,06,2016-06,bbc_news_tv,control,"he says he will do it fairly rapidly, so there is an issue of moral promises made to do that, and is an issue of moral promises made to do that, and i think if it goes on too long, people will get very touchy about it.",neutral,0.947484
00224,2016,06,2016-06,bbc_news_tv,control,i don’t think ameron has done anybody cameron.,surprise,0.853624
00225,2016,06,2016-06,bbc_news_tv,control,"blue skies above wisbech, at least for some of the time this afternoon and smiles at you much all of the time on the faces of the pro-brexit voters this morning.",joy,0.626695
00226,2016,06,2016-06,bbc_news_tv,control,let’s just remind dramatic 24 hours.,neutral,0.886817
00227,2016,06,2016-06,bbc_news_tv,control,we will see how things play out.,neutral,0.880143
00228,2016,06,2016-06,bbc_news_tv,control,let’s just remind ourselves dramatic 21+ hours.,neutral,0.858131
00229,2016,06,2016-06,bbc_news_tv,control,"the indications from here are that they might well accept that, but only if it is for a few weeks, a couple of months may be, not any longer, because what they don’t want here is any sort of vacuum which could let events any sort of vacuum which could let events run away with us.",neutral,0.925623
00230,2016,06,2016-06,bbc_news_tv,control,"there are no areas in the north of england, traditional labour heartlands, which have no gordon.",neutral,0.89223
00231,2016,06,2016-06,bbc_news_tv,control,the democratic unionist party leader and the first minister have said they welcomed the result.,joy,0.987983
00232,2016,06,2016-06,bbc_news_tv,control,we saw the first minister making that statement.,neutral,0.687416
00233,2016,06,2016-06,bbc_news_tv,control,"of course, the closest relations of the will be with european neighbours.",neutral,0.812354
00234,2016,06,2016-06,bbc_news_tv,control,can you give us a reaction?,neutral,0.60904
00235,2016,06,2016-06,bbc_news_tv,control,0f and this is what happened.,surprise,0.623717
00236,2016,06,2016-06,bbc_news_tv,control,i am joined by a reporterfrom the herald and alex massie from the spectator and times.,joy,0.960522
00237,2016,06,2016-06,bbc_news_tv,control,"the president of the commission this afternoon was saying, they want britain to get on with it.",neutral,0.761856
00238,2016,06,2016-06,bbc_news_tv,control,ithinkjeremy corbyn should resign as leader of the labour party.,sadness,0.961991
00239,2016,06,2016-06,bbc_news_tv,control,many people feel they should have been campaigning rater after the elections.,neutral,0.464918
00240,2016,06,2016-06,bbc_news_tv,control,"the governor of the bank of england mark carney has sought to reassure financial markets and said the bank was ""well prepared"".",joy,0.496051
