sentence_id,year,month,year_month,source,sentence,sentiment_label,sentiment_score,confidence
00017,2020,04,2020-04,BBC News TV,reports from japan say the government is preparing to declare a state of emergency as coronavirus cases continue to increase.,neutral,0,0.5949936509132385
00018,2020,04,2020-04,BBC News TV,and a tiger - at a zoo in new york - has tested positive for covid-19.,neutral,0,0.7345951199531555
00019,2020,04,2020-04,BBC News TV,it was a week last friday that we heard the prime minister had coronavirus.,neutral,0,0.6152634024620056
00020,2020,04,2020-04,BBC News TV,"hi, folks, i want to bring you up to speed with something that’s happening today, which is that i have developed mild of the coronavirus, that’s to say a temperature and a persistent cough.",neutral,0,0.5157771706581116
00021,2020,04,2020-04,BBC News TV,"and on the advice of the chief medical officer, i have taken a test, that has come out positive, so i am working from home.",positive,1,0.8348637223243713
00022,2020,04,2020-04,BBC News TV,"although i’m feeling better and i’ve done my seven days of isolation, alas, i still have one of the symptoms, a minor symptom, i still have a temperature so in accordance with government advice, i must continue my self-isolation until that itself goes.",neutral,0,0.533840000629425
00023,2020,04,2020-04,BBC News TV,it must be hard for boris to it must be hard for boris johnson to it must be hard for boris johnson to the it must be hard for borisjohnson to run the government from his hospital the government from his hospital bed.,negative,-1,0.6454959511756897
00024,2020,04,2020-04,BBC News TV,"anybody who has had a coronavirus, anybody who has had a coronavims, peopla talked anybody who has had a coronavirus, people talked about being wiped out, potentially that could be what is happening with the prime minister.",negative,-1,0.5292522311210632
00025,2020,04,2020-04,BBC News TV,scotland’s chief medical officer has resigned after being caught visiting her second home - in breach of her own social distancing guidance.,negative,-1,0.8252922296524048
00026,2020,04,2020-04,BBC News TV,this is a vital update about coronavirus.,neutral,0,0.5442329049110413
00027,2020,04,2020-04,BBC News TV,catherine calderwood will no longer front the public campaign against coronavirus.,negative,-1,0.4990827143192291
00028,2020,04,2020-04,BBC News TV,police scotland say that they have spoken to her and emphasised that the stay-at-home rules apply to everyone.,neutral,0,0.8338279724121094
00029,2020,04,2020-04,BBC News TV,today he is in hospital having the test.,neutral,0,0.6083912253379822
00030,2020,04,2020-04,BBC News TV,"but you could see a more prominent role, i guess, for michael gove and matt hancock who already have been pretty central to our response to coronavirus because we are facing huge decisions day by day in terms of the severity of the lockdown and in terms of our broader strategy about how we emerge from this.",neutral,0,0.7499663233757019
00031,2020,04,2020-04,BBC News TV,"if his are actually getting worse than getting better, then, the sorts of things that would be happening in hospital, he would be having chest x-rays, possibly ’ he would be having chest x-rays, possibly scans of his lungs, a range of blood tests, and people range of blood tests, and peoplo would range of blood tests, and people would be monitoring his vital observations, his pulse and breathing rate and also quite likely what is called the oxygen saturation what is rallad the oxygen saturation which is what is called the oxygen saturation which is a marker of how well the lungs are functioning in terms of getting oxygen into your blood.",negative,-1,0.577562153339386
00032,2020,04,2020-04,BBC News TV,"even when you talk to people who even when you talk to peopla who have even when you talk to people who have had it or believe they have had it all people who have tested positive for it, even when they get over the most high-profile over the most high-profit; like over the most high-profile like fever or persistent cough, actually, the effect on the body because your immune system has had to fight this, you are knackered.",neutral,0,0.5987410545349121
00033,2020,04,2020-04,BBC News TV,people can be under the weather for people ran be under the weather for days if not people can be under the weather for days if not weeks after recovery from this infection.,negative,-1,0.6111553311347961
00034,2020,04,2020-04,BBC News TV,in the next few minutes we will talk to the sister of a nurse who died after testing positive for covid-19.,neutral,0,0.6107358336448669
00035,2020,04,2020-04,BBC News TV,we have an epidemic in the with a pandemic on top.,negative,-1,0.8718118071556091
00036,2020,04,2020-04,BBC News TV,"yesterday, the health secretary said three nurses have died so far duing this coronavirus outbreak.",negative,-1,0.8875656723976135
00037,2020,04,2020-04,BBC News TV,"the hospital has been amazing throughout her my the hospital has been amazing throughout herjourney, myjourney, and the support that we have had.",positive,1,0.985852837562561
00038,2020,04,2020-04,BBC News TV,"the queen has given a message of reassurance to britain and the commonwealth, urging people to remain united and resolute in the face of the coronavirus pandemic.",positive,1,0.5991352796554565
00039,2020,04,2020-04,BBC News TV,a lot of people are finding social lot of peopla are finding social distancing lot of people are finding social distancing hard.,negative,-1,0.6834887266159058
00040,2020,04,2020-04,BBC News TV,"she didn’t talk about the battle against coronavirus and fighting it, against coronavims and fighting it, instead against coronavirus and fighting it, instead she spoke about calm and instead she spoke about and disciplined, instead she spoke about calm and disciplined, quiet, good resolve.",neutral,0,0.6385002136230469
00041,2020,04,2020-04,BBC News TV,"her son, who is also over 70, just recovered from coronavirus",positive,1,0.5149685144424438
00042,2020,04,2020-04,BBC News TV,a tiger at a zoo in new york has tested positive for the coronavirus.,neutral,0,0.6962009072303772
00043,2020,04,2020-04,BBC News TV,"the four-year-old female, named nadia, is thought to have contracted the virus from a keeper at the bronx zoo, who didn’t have any symptoms.",negative,-1,0.539337158203125
00044,2020,04,2020-04,BBC News TV,it’s believed to be the first known case of an animal infected by a human with covid-19.,neutral,0,0.7063002586364746
00045,2020,04,2020-04,BBC News TV,"the headlines: the prime minister has spent the night in hospital, ten days after being diagnosed with coronavirus.",negative,-1,0.5712730288505554
00046,2020,04,2020-04,BBC News TV,scotland’s chief medical officer resigns after making two trips to her second home during the lockdown.,negative,-1,0.5852435827255249
00047,2020,04,2020-04,BBC News TV,she says the will suceed in its fight against the coronavirus.,neutral,0,0.6020750999450684
00048,2020,04,2020-04,BBC News TV,care homes in britain say they’re at risk of becoming overwhelmed if covid-19 cases continue to spread through their homes.,negative,-1,0.8430762887001038
00049,2020,04,2020-04,BBC News TV,it comes after at least 13 residents at a care home in glasgow died after a suspected coronavirus outbreak.,negative,-1,0.9307167530059814
00050,2020,04,2020-04,BBC News TV,there is in the equipment and the testing to make sure we don’t have spread of coronavirus.,neutral,0,0.7209697365760803
00051,2020,04,2020-04,BBC News TV,"our staff, who are on the second front line, are unabla to are on the second front line, are unable to do the job they are being asked to do in terms of caring for asked to do in terms of raring for peopla with asked to do in terms of caring for people with covid-19.",negative,-1,0.7593092322349548
00052,2020,04,2020-04,BBC News TV,that’s peopla with covid-19.,neutral,0,0.8655380010604858
00053,2020,04,2020-04,BBC News TV,that’s interesting people with covid-19.,positive,1,0.8403440117835999
00054,2020,04,2020-04,BBC News TV,"i wonder how many residents in your 220 homes have of covid-19 or have tested positive, if they have been able to get a test for covid-19?",neutral,0,0.8781656622886658
00055,2020,04,2020-04,BBC News TV,we currently have 43 residents who have testing positive for covid-19 but we have another 346 who are not confirmed.,neutral,0,0.81000816822052
00056,2020,04,2020-04,BBC News TV,"how has that been since the social distancing guidelines were brought in, edith?",neutral,0,0.8513022661209106
00057,2020,04,2020-04,BBC News TV,"ifelt like yes, ijust felt like there was no point me social distancing and staying on lockdown when i had this big risk of front line workers coming into my home, and i think i found it quite anxious",negative,-1,0.8133705258369446
00058,2020,04,2020-04,BBC News TV,he says is the boss he has run all he says is the boss he has all the suppliers he says is the boss he has run all the suppliers and the government hotline and still cannot get personal protective equipment for people working in care homes with peopla working in rare homes with many elderty people working in care homes with many elderly people.,negative,-1,0.7369462847709656
00059,2020,04,2020-04,BBC News TV,with me to answer some of the questions you’ve been sending in on coronavirus is bharat pankhania.,neutral,0,0.8904225826263428
00060,2020,04,2020-04,BBC News TV,are people who use mobile phones at risk of getting coronavirus?,negative,-1,0.6480122208595276
00061,2020,04,2020-04,BBC News TV,when out shopping i see peopla wearing coronavirus?,neutral,0,0.7533490657806396
00062,2020,04,2020-04,BBC News TV,"if his are getting worse than getting better, the sorts of things that would be happening in hospital, he would have chest x-rays, possibly a scan of his lungs, a range of blood tests, and peopla lungs, a range of blood tests, and peoplo would lungs, a range of blood tests, and people would be monitoring his vital observations, his pulse and breathing rate, and also, quite likely, what is called the oxygen saturation which is a marker how well the lungs are functioning in terms of getting oxygen into your blood.",negative,-1,0.7081528902053833
00063,2020,04,2020-04,BBC News TV,"the president also predicted that the is nearing the peak of the outbreak, saying he could see light at the end of the tunnel.",neutral,0,0.6000251173973083
00064,2020,04,2020-04,BBC News TV,"new york city, still the epicentre of the corona -- coronavirus outbreak in america.",neutral,0,0.587028980255127
00065,2020,04,2020-04,BBC News TV,the state was one of the first to introduce social distancing and stay at home orders.,neutral,0,0.8830716013908386
00066,2020,04,2020-04,BBC News TV,"we are very hopeful over the next week, although we will see a rising number of cases of people who lose their lives to this illness, we also hope to see a stablisation of cases across the large metro areas where the outbreak began several weeks ago.",positive,1,0.6675216555595398
00067,2020,04,2020-04,BBC News TV,"scotland’s chief medical officer has resigned after being caught visiting her second home, in breach of her own social distancing guidance.",negative,-1,0.8089067935943604
00068,2020,04,2020-04,BBC News TV,this is a vital update about coronavirus.,neutral,0,0.5442329049110413
00069,2020,04,2020-04,BBC News TV,catherine calderwood will no longer front the public campaign against coronavirus.,negative,-1,0.4990827143192291
00070,2020,04,2020-04,BBC News TV,police scotland say that they have spoken to her and emphasised that the stay-at-home rules apply to everyone.,neutral,0,0.8338279724121094
00071,2020,04,2020-04,BBC News TV,"50, the partial lockdown being so, the partial lockdown being lifted to some extent in austria.",neutral,0,0.904417097568512
00072,2020,04,2020-04,BBC News TV,"the headlines on news: the prime minister has spent the night in hospital, ten days after being diagnosed with coronavirus.",negative,-1,0.5951799750328064
00073,2020,04,2020-04,BBC News TV,scotland’s chief medical officer resigns after making two trips to her second home during the lockdown.,negative,-1,0.5852435827255249
00074,2020,04,2020-04,BBC News TV,"the number of newly confirmed coronavirus cases in south korea has decreased to below 50, its lowest daily number since the outbreak peaked in february.",neutral,0,0.637492299079895
00075,2020,04,2020-04,BBC News TV,"the number of newly confirmed coronavirus cases in south korea has decreased to below 50, its lowest daily number since the outbreak peaked in february.",neutral,0,0.637492299079895
00076,2020,04,2020-04,BBC News TV,south korea has been widely praised for its approach to tracing and testing for cases of covid-19 but is warning against complacency.,positive,1,0.7978441119194031
00077,2020,04,2020-04,BBC News TV,"we now have 47 newly-confirmed cases within the last 2a hours, 16 of whom are overseas arrivals, in fact, within the last two weeks, over half of all the cases that have been confirmed here in south korea are people returning home from the likes of europe, the and canada.",neutral,0,0.7739859819412231
00078,2020,04,2020-04,BBC News TV,"so, the government has advised people to maintain the social distancing measures for just another two weeks if they ran.",neutral,0,0.8234409689903259
00079,2020,04,2020-04,BBC News TV,this follows mixed advice from global authorities on the effectiveness of wearing a mask to limit the spread of covid-19.,neutral,0,0.8564667701721191
00080,2020,04,2020-04,BBC News TV,"it is not that we do not advise it, we say do not use medical masks because there is a severe shortage of medical mask and we need those for health care workers at high risk for health rare workers at high risk of exposure for health care workers at high risk of exposure some because of the procedures you need to do to save lives will increase the amount of virus in the atmosphere.",negative,-1,0.7360472679138184
00081,2020,04,2020-04,BBC News TV,"we do say if you wish to wear a mask that is fine, but do not use a medical mask, use other kinds of face barriers.",neutral,0,0.7778623700141907
00082,2020,04,2020-04,BBC News TV,"wearing a mask, is it to protect you or other peopla wearing a mask, is it to protect you or other people from you?",neutral,0,0.7454379796981812
00083,2020,04,2020-04,BBC News TV,we are getting increasing evidence people may have mild they may not even be aware they actually have the virus that they have a lot of virus in their throat and nose.,negative,-1,0.8963977694511414
00084,2020,04,2020-04,BBC News TV,"how much further forward, how far ran a cough or how much further forward, how far can a cough or sneeze travel?",neutral,0,0.7861031293869019
00085,2020,04,2020-04,BBC News TV,the coronavirus pandemic is a huge blow to economies across the world.,negative,-1,0.9343504905700684
00086,2020,04,2020-04,BBC News TV,"question is whether they can go back to those whether they ran go back to those jobs when this whether they can go back to those jobs when this virus outbreak is over, whether business can just pick over, whether business ran just pick up.",neutral,0,0.5548679828643799
00087,2020,04,2020-04,BBC News TV,"like all retailars now struggling, and like all retailers now struggling, and once -- what the pandemic has undertined and once -- what the pandemic has underlined is those already on shaky foundations are finding it even tougher than they would have.",negative,-1,0.7478549480438232
00088,2020,04,2020-04,BBC News TV,"in a televised address from windsor castle, the queen has paid tribute to the and key workers, keeping goods and services going amid the coronavirus pandemic.",neutral,0,0.5008754730224609
00089,2020,04,2020-04,BBC News TV,"the headlines: the british prime minister has spent the night in hospital, ten days after being diagnosed with coronavirus.",negative,-1,0.6124838590621948
00090,2020,04,2020-04,BBC News TV,scotland’s chief medical officer resigns after making two trips to her second home during the lockdown.,negative,-1,0.5852435827255249
00091,2020,04,2020-04,BBC News TV,it’s better news for south korea as the number of newly confirmed coronavirus cases falls to its lowest level since the peak of the outbreak.,positive,1,0.5542505383491516
00092,2020,04,2020-04,BBC News TV,and a tiger and six other big cats at the bronx zoo in new york test positive for the coronavirus.,neutral,0,0.7263702750205994
00093,2020,04,2020-04,BBC News TV,"kazeema nasreen, paying tribute to her sister who died last week from coronavirus.",neutral,0,0.6834196448326111
00094,2020,04,2020-04,BBC News TV,"turkey has one of the fastest growing outbreaks of covid-19, with a steeper rise in cases than italy, spain or the .",neutral,0,0.6118423938751221
00095,2020,04,2020-04,BBC News TV,"more restrictions on movement have been introduced, but a full lockdown is not in place.",neutral,0,0.7000921964645386
00096,2020,04,2020-04,BBC News TV,there is a warning of a global surge in domestic violence due to the covid-19 restrictions.,negative,-1,0.6335874795913696
00097,2020,04,2020-04,BBC News TV,we have an epidemic in the with a pandemic on top.,negative,-1,0.8718118071556091
00098,2020,04,2020-04,BBC News TV,"the rate of infection in italy may be showing promising signs of stabilising, but authorities are nervous about anything that could lead to a new outbreak.",negative,-1,0.48934853076934814
00099,2020,04,2020-04,BBC News TV,the town was sealed off after 77 cases of coronavirus were discovered here last week.,negative,-1,0.6688829660415649
00100,2020,04,2020-04,BBC News TV,now the village is being turned into a human coronavirus laboratory.,negative,-1,0.758603036403656
00101,2020,04,2020-04,BBC News TV,"the researchers are trying to work out exactly how the virus spread through a community and how many people display symptoms, and then they will trial possible treatments.",neutral,0,0.711764931678772
00102,2020,04,2020-04,BBC News TV,"the organisation for economic coordination and development, a group of countries brought together to stimulate economic progress and world trade, has revised down growth forecasts and warned countries will be dealing with the economic fallout of coronavirus for years to come.",neutral,0,0.5959028005599976
00103,2020,04,2020-04,BBC News TV,therefore do you think nations should be guided only by the epidemic curve or do we also have to take into account the damage of lockdown is doing?,neutral,0,0.7450350522994995
00104,2020,04,2020-04,BBC News TV,"that is a false dilemma because the sooner we deal with the virus itself, the faster we ran get out of with the virus itself, the faster we can get out of the economic consequences and it will be less expensive.",neutral,0,0.49001145362854004
00105,2020,04,2020-04,BBC News TV,"you deal with the virus, you deal with the enemy, and then to the extent that 7°“- enemy, and then to the extent that you, because of confinement efforts, because of isolation efforts, you ran because of isolation efforts, you can reduce the time that it takes.",neutral,0,0.7586303353309631
00106,2020,04,2020-04,BBC News TV,"clearly there is a lot to do, and cleariy there is a lot to do, and best clearly there is a lot to do, and best wishes to prime minister boris johnson who is in hospital having precautionary tests after he developed covid-19 about ten days ago and then had a test which proved positive, but persistent hanging around so that’s he has been taken into hospital.",positive,1,0.5076950788497925
00107,2020,04,2020-04,BBC News TV,the number of covid-19 cases injapan began to grow rapidly last week.,neutral,0,0.7473986148834229
00108,2020,04,2020-04,BBC News TV,"the number deaths in france has topped the 8,000 mark, as previously undisclosed fatalities in care homes are ken into account.",negative,-1,0.6843326091766357
00109,2020,04,2020-04,BBC News TV,"stay at home whenever you can, stay at home whenever you ran, don’t go out on stay at home whenever you can, don’t go out on the streets with your fam.",neutral,0,0.5435641407966614
00110,2020,04,2020-04,BBC News TV,"the british prime minister has spent the night in hospital, ten days after being diagnosed with coronavirus.",negative,-1,0.6293180584907532
00111,2020,04,2020-04,BBC News TV,scotland’s chief medical officer resigns after making two trips to her second home during the lockdown.,negative,-1,0.5852435827255249
00112,2020,04,2020-04,BBC News TV,but it’s better news for south korea - as the number of newly confirmed coronavirus cases falls to its lowest level since the peak of the outbreak.,positive,1,0.5067698359489441
00113,2020,04,2020-04,BBC News TV,and a tiger - and six other big cats - at the bronx zoo in new york test positive for the coronavirus.,neutral,0,0.7393819093704224
00114,2020,04,2020-04,BBC News TV,we’re covering all the latest coronavirus developments here in britain and globally.,neutral,0,0.8796830177307129
00115,2020,04,2020-04,BBC News TV,"first, the ’s prime minister borisjohnson has spent the night in hospital, where he was admitted for tests, ten days after being diagnosed with coronavirus.",negative,-1,0.5067150592803955
00116,2020,04,2020-04,BBC News TV,he remains in charge of the government but the ’s foreign secretary dominic raab chaired this morning’s coronavirus meeting.,neutral,0,0.8872828483581543
00117,2020,04,2020-04,BBC News TV,"scotland’s chief medical officer has resigned after being criticised for visiting her second home twice, against her own lockdown advice.",negative,-1,0.8036962151527405
00118,2020,04,2020-04,BBC News TV,the country’s surgeon general warned people that the coming week will be their ‘pearl harbor’ or ‘9/11’ moment with deaths from covid-19 expected to peak.,negative,-1,0.6454072594642639
00119,2020,04,2020-04,BBC News TV,"and austria has announced plans to ease some coronavirus restrictions, as many countries consider how to move on from lockdowns to a new phase in fighting the pandemic.",neutral,0,0.7648535966873169
00120,2020,04,2020-04,BBC News TV,it was a week last friday that we heard the prime minister had coronavirus.,neutral,0,0.6152634024620056
00121,2020,04,2020-04,BBC News TV,"hi, folks, i want to bring you up to speed with something that’s happening today, which is that i have developed mild of the coronavirus, that’s to say a temperature and a persistent cough.",neutral,0,0.5157771706581116
00122,2020,04,2020-04,BBC News TV,"and on the advice of the chief medical officer, i have taken a test, that has come out positive, so i am working from home.",positive,1,0.8348637223243713
00123,2020,08,2020-08,BBC News TV,"biden has been relatively silent, broadcasting from his basement in delaware because of the coronavirus crisis.",neutral,0,0.7439092993736267
00124,2020,08,2020-08,BBC News TV,and a wild card really is the coronavirus.,neutral,0,0.5006524324417114
00125,2020,08,2020-08,BBC News TV,"across europe, several governments express concern about a resurgence in the number of coronavirus cases.",neutral,0,0.6333584785461426
00126,2020,08,2020-08,BBC News TV,"south africa has now registered more than 500,000 cases of coronavirus, making it by far the hardest-hit country on the continent.",negative,-1,0.8078172206878662
00127,2020,08,2020-08,BBC News TV,mourning another life taken by coronavirus.,negative,-1,0.8800246715545654
00128,2020,08,2020-08,BBC News TV,that is at least half of all the confirmed coronavirus cases on the continent.,negative,-1,0.49670568108558655
00129,2020,08,2020-08,BBC News TV,"nurses are testing positive as well, and it’s a mess.",negative,-1,0.5362818241119385
00130,2020,08,2020-08,BBC News TV,our facilities and our hospitals - covid-19 cases are all over the place.,neutral,0,0.692409873008728
00131,2020,08,2020-08,BBC News TV,there is no ward which doesn’t have a covid-19 person.,neutral,0,0.7047267556190491
00132,2020,08,2020-08,BBC News TV,"south africa imposed a strict lockdown in april and may that slowed the spread of the virus, but began a gradual reopening in june.",neutral,0,0.7467141151428223
00133,2020,08,2020-08,BBC News TV,"the cracks that have been there, even before coronavirus, are getting bigger every day.",negative,-1,0.6276068091392517
00134,2020,08,2020-08,BBC News TV,"the country has tested over 3 million people and brought in an aggressive early lockdown, but that is no guarantee of success against this deadly virus.",negative,-1,0.9006864428520203
00135,2020,08,2020-08,BBC News TV,"several european governments have expressed concern about the resurgence of the coronavirus cases in a number of countries, including belgium and france, where numbers appear to be heading upwards.",neutral,0,0.7388018369674683
00136,2020,08,2020-08,BBC News TV,"rates of infection in germany remain low, but health officials there have expressed great concern over an uptick in cases in the country.",neutral,0,0.5868405103683472
00137,2020,08,2020-08,BBC News TV,"in germany, as of next week, they are going to make it mandatory for travellers coming back from areas of high risk to have a covid test.",neutral,0,0.8594831824302673
00138,2020,08,2020-08,BBC News TV,"now, here in majorca, there have been fewer cases, around 27 covid cases a day.",neutral,0,0.8145532011985779
00139,2020,08,2020-08,BBC News TV,"but there’s been the first confirmed case of tourists being put in isolation since the lockdown was eased, as one person out of a party of ten, currently close by here in palma, are now in isolation in a hotel.",neutral,0,0.6634066700935364
00140,2020,08,2020-08,BBC News TV,"let’s get some of the day’s other coronavirus news: the australian state of victoria is expected to introduce new lockdown measures, tougher than any seen in the country before.",neutral,0,0.759652853012085
00141,2020,08,2020-08,BBC News TV,"thousands of people have taken to the streets in germany’s capital, berlin, to protest against the country’s coronavirus restrictions.",negative,-1,0.4951460063457489
00142,2020,08,2020-08,BBC News TV,"germany has been less badly affected by the pandemic than other european countries, but cases are starting to rise again.",neutral,0,0.4660249352455139
00143,2020,08,2020-08,BBC News TV,"across europe, several governments express concern about a resurgence in the number of coronavirus cases.",neutral,0,0.6333584785461426
00144,2020,08,2020-08,BBC News TV,"russian health authorities are preparing to start a mass vaccination campaign against coronavirus in october, according to the country’s health minister.",neutral,0,0.8920694589614868
00145,2020,08,2020-08,BBC News TV,"on friday, the leading infectious disease expert in the , anthony fauci, said he hoped that russia and china were ""actually testing their vaccines"" before administering them to anyone.",neutral,0,0.6886650323867798
00146,2020,08,2020-08,BBC News TV,three western coronavirus vaccines are in final phase three trials.,neutral,0,0.9146023988723755
00147,2020,08,2020-08,BBC News TV,rishi desai is the chief medical officer for the healthcare education platform osmosis and a former epidemic intelligence officer with the center for disease control.,neutral,0,0.9046820402145386
00148,2020,08,2020-08,BBC News TV,"i’m sure some people thinking i’m sure some peopla thinking would i’m sure some people thinking would think 0k we can test and would think 0k we ran test and if there would think 0k we can test and if there is no immediate reaction, great",neutral,0,0.666291356086731
00149,2020,08,2020-08,BBC News TV,"the election has been delayed twice due to the coronavirus pandemic, meaning campaigning has lasted months.",negative,-1,0.7425374984741211
00150,2020,08,2020-08,BBC News TV,the election is happening amid the unprecedented coronavirus crisis.,neutral,0,0.506524384021759
00151,2020,08,2020-08,BBC News TV,"sri lanka has managed to contain the outbreak, with the deaths onlyjust into double figures.",neutral,0,0.7237289547920227
00152,2020,08,2020-08,BBC News TV,the entire world is new subject to covid-19 infection.,negative,-1,0.6754329800605774
00153,2020,08,2020-08,BBC News TV,sri lanka’s economy has been battered by the covid-19 crisis.,negative,-1,0.8312063813209534
00154,2020,08,2020-08,BBC News TV,"arsenal’s captain pierre-emerick aubameyang who scored both his team’s goals - lifted the trophy in front of a stadium of 90-thousand empty seats, because of coronavirus restrictions.",neutral,0,0.5739715695381165
00155,2020,08,2020-08,BBC News TV,"more than 500,000 coronavirus have been confirmed in south africa, along with over 8,000 deaths.",negative,-1,0.9071016907691956
00156,2020,08,2020-08,BBC News TV,"several european governments have expressed concern about the resurgence of coronavirus cases in a number of countries, including belgium and france, where numbers appear to be heading upwards.",neutral,0,0.6729929447174072
00157,2020,08,2020-08,BBC News TV,"response to coronavirus with infectious disease chief anthony fauci, as cases continue to rise across the country.",neutral,0,0.6095503568649292
00158,2020,08,2020-08,BBC News TV,"since the beginning of the year, he has been in the thick of a new battle against coronavirus.",neutral,0,0.8593878149986267
00159,2020,08,2020-08,BBC News TV,"for americans, he has become a trusted presence behind the podium at white house covid-19 briefings.",positive,1,0.624719500541687
00160,2020,08,2020-08,BBC News TV,"fauci has criticised the president’s response on a number of occasions, pushed back on the president’s claims that the outbreak is improving, and attributing hasty state reopening is to the recent surges.",neutral,0,0.49244335293769836
00161,2020,08,2020-08,BBC News TV,the move to undercut him comes as the continues to see surges in covid-19.,neutral,0,0.898544430732727
00162,2020,08,2020-08,BBC News TV,"i would have hoped that once we had the initial surge under control - as you recall we were particularly hard hit in the new york metropolitan area - that we would have come down to a baseline that is really a low baseline, namely hundreds to, you know, a few hundred cases a day.",neutral,0,0.6737877726554871
00163,2020,08,2020-08,BBC News TV,"we had the big surge, then it came down, but it plateaued at a level of about 20,000 cases per day for several weeks in a row into may and june.",neutral,0,0.650976300239563
00164,2020,08,2020-08,BBC News TV,"and that’s not what i would have predicted or liked to see, because we went from a baseline of about 20,000 cases a day up to 30, 40, 50, 60, and a couple of weeks ago we even hit 70 new cases a day.",negative,-1,0.5933571457862854
00165,2020,08,2020-08,BBC News TV,"and then the other aspect of it is that when we reopened, in the sense of, you know, we put out these guidelines for opening america again, and they were well thought out guidelines which had several checkpoints.",neutral,0,0.8136181235313416
00166,2020,08,2020-08,BBC News TV,"so if i wear a mask, does it protect me in any way, as well as stopping me spreading the virus if i have it?",neutral,0,0.6778620481491089
00167,2020,08,2020-08,BBC News TV,"but, since we know now that about 20-a5% of the cases are asymptomatic, and that clearly people who are without are transmitting the infection to others, that the recommendation of universal wearing of masks is more geared towards having people who don’t know that they’re infected from spreading the infection to others.",negative,-1,0.6708019375801086
00168,2020,08,2020-08,BBC News TV,"and the benefit would be that i’m less likely to get it if i’m wearing a mask, or that the severity of the disease if i did get it would be diminished because i was wearing a mask.",neutral,0,0.5332363247871399
00169,2020,08,2020-08,BBC News TV,"but what i can say is what i have said all along - that the overwhelming body of data from trials that were well run, randomised, placebo-controlled trials, indicate that is not effective in treating coronavirus disease or covid-19.",negative,-1,0.7563791871070862
